SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SIL,EQ,18.71,18.93,18.12,18.21,18.36,18.71,22725,418633.75,13-Oct-2025,438,INE173A01025
STANLEY,EQ,303.75,303.75,292.8,295.1,294,300.75,39562,11753389.30,13-Oct-2025,2377,INE01A001028
STARCEMENT,EQ,265,270,261.85,267.15,266.2,265.5,258066,68723527.65,13-Oct-2025,12745,INE460H01021
STARHEALTH,EQ,478,481.5,469.6,479.7,479.25,478.75,299880,143156349.05,13-Oct-2025,10908,INE575P01011
STARPAPER,EQ,168.06,168.5,165,165.18,165,167.53,8261,1372526.11,13-Oct-2025,289,INE733A01018
STARTECK,EQ,314,321.4,310.05,313.55,313.1,317.45,10070,3192293.85,13-Oct-2025,237,INE992I01013
SBIN,EQ,879,888.1,876,882.95,884,880.65,11923143,10540393655.95,13-Oct-2025,198375,INE062A01020
SBIN,T0,880.65,893,880.65,882.95,885,880.65,8,7095.30,13-Oct-2025,8,INE062A01020
SAIL,EQ,131.5,133.32,128.81,132.51,132.66,132.17,18513844,2431766961.02,13-Oct-2025,56935,INE114A01011
STEELCITY,EQ,102.9,103,100.67,101.31,101.5,101.61,5414,552609.43,13-Oct-2025,140,INE395H01011
STEELXIND,EQ,10.63,10.63,10.1,10.21,10.3,10.66,2086646,21439456.50,13-Oct-2025,5236,INE503B01021
SSWL,EQ,217,219,214.12,215.66,215.75,217.83,108495,23397921.16,13-Oct-2025,4202,INE802C01033
STEELCAS,EQ,218.6,224.87,218.6,220.78,221.58,222.51,48477,10759469.93,13-Oct-2025,4832,INE124E01038
STEL,EQ,397,400.9,385.75,398.7,400.9,392.75,6656,2621962.40,13-Oct-2025,1125,INE577L01016
STERTOOLS,EQ,312.2,314.85,306.6,308.65,309.5,312.2,40927,12691655.10,13-Oct-2025,2598,INE334A01023
STLTECH,EQ,116,118.5,116,118.14,118.24,116.72,806980,94892015.45,13-Oct-2025,10685,INE089C01029
SGL,EQ,14.49,14.78,13.9,14.27,14.5,14.4,15125,214570.53,13-Oct-2025,171,INE353H01010
STLNETWORK,EQ,28.5,28.85,28.04,28.12,28.15,28.69,2332673,66045673.74,13-Oct-2025,6476,INE1VXE01018
STOVEKRAFT,EQ,663.05,689.75,663.05,673,675,667.35,47204,32005396.15,13-Oct-2025,3271,INE00IN01015
STAR,EQ,846.7,850.85,825,830.05,831.15,850.85,228768,192219016.90,13-Oct-2025,10268,INE939A01011
SWSOLAR,EQ,248.32,253.23,246.33,249.99,249.9,249.51,1785960,447023914.11,13-Oct-2025,27386,INE00M201021
STUDIOLSD,SM,20.05,20.4,19.75,20.15,20.4,20.35,64000,1284800.00,13-Oct-2025,31,INE17VO01028
STYLAMIND,EQ,1994.9,2030.4,1979.2,2025.1,2027.7,2018,41655,83836133.90,13-Oct-2025,4884,INE239C01020
STYRENIX,EQ,2384.4,2393.9,2335,2365.5,2355,2384.4,39012,91936048.30,13-Oct-2025,7528,INE189B01011
SUBAHOTELS,ST,196.65,196.65,191,196.65,196.65,187.3,1786800,350829540.00,13-Oct-2025,737,INE0RYR01018
SUBEXLTD,EQ,13.99,14.34,13.56,14.04,14.09,13.14,9688944,136312685.24,13-Oct-2025,14288,INE754A01055
SUBROS,EQ,1121,1124.1,1050,1053.4,1052.8,1121.3,378900,406578901.90,13-Oct-2025,32659,INE287B01021
SUDARSCHEM,EQ,1312.5,1316.6,1280.3,1284.1,1284.2,1312.1,65567,84819444.70,13-Oct-2025,10584,INE659A01023
SUKHJITS,EQ,165.01,169.7,163.2,163.9,165.5,164.93,10193,1680029.53,13-Oct-2025,230,INE450E01029
SULA,EQ,257.5,258.6,253.2,253.85,253.9,257.95,334752,85312817.70,13-Oct-2025,10639,INE142Q01026
SUMEETINDS,BE,33,34.5,32.27,32.27,32.27,33.97,320987,10535302.84,13-Oct-2025,975,INE235C01036
SUMIT,EQ,96.49,96.49,88.51,91.22,89.76,95.99,354396,32345262.37,13-Oct-2025,3790,INE748Z01013
SUMICHEM,EQ,522.45,533,520.6,524.25,523,527.75,207589,109431700.00,13-Oct-2025,15639,INE258G01013
SUMMITSEC,EQ,2156,2193.3,2126.9,2134.6,2130,2187.4,8746,18797030.40,13-Oct-2025,2110,INE519C01017
SPARC,EQ,134,136.95,133.83,134.21,134.5,134.01,381611,51526726.11,13-Oct-2025,9251,INE232I01014
SUNPHARMA,EQ,1662.5,1675,1655.8,1668.4,1666.8,1670.9,1375179,2290448266.10,13-Oct-2025,51423,INE044A01036
SUNTV,EQ,577,588.15,570.5,581.7,580,577.6,287683,166874922.85,13-Oct-2025,12335,INE424H01027
SUNDRMBRAK,EQ,775.5,784.95,770,771.55,770.6,775.1,1464,1133758.65,13-Oct-2025,138,INE073D01013
SUNCLAY,EQ,1557.2,1560,1499.1,1512.8,1507,1572.8,39286,59826550.10,13-Oct-2025,5057,INE0Q3R01026
SUNDARMHLD,EQ,673.3,685,660.35,681.75,685,673.3,171824,115799961.35,13-Oct-2025,12629,INE202Z01029
SUNDARMFIN,EQ,4395,4460,4376.7,4429.8,4411,4409.5,36664,162460799.20,13-Oct-2025,7563,INE660A01013
SUNDARAM,EQ,1.89,1.89,1.84,1.84,1.84,1.87,217847,405242.42,13-Oct-2025,516,INE108E01023
SUNDRMFAST,EQ,1000.9,1007.5,985.55,995.5,993.15,1000.9,32185,31966750.40,13-Oct-2025,5890,INE387A01021
SUNDROP,EQ,785.55,790.65,767.65,774.8,770,785.55,12228,9523223.50,13-Oct-2025,1429,INE209A01019
SUNFLAG,EQ,263.6,268.8,261.9,266.5,267.45,267.55,180476,47852300.00,13-Oct-2025,3108,INE947A01014
SEL,SM,244,244,231.25,242,242,238,1200,284700.00,13-Oct-2025,6,INE0O3O01017
SUNLITE,SM,178,179.5,175,177,177,170.5,6000,1063740.00,13-Oct-2025,5,INE0U2N01013
SUNTECH,SM,48.5,50,48.2,50,50,49.35,12800,629200.00,13-Oct-2025,8,INE0SGZ01016
SUNTECK,EQ,437.7,441.35,431.4,434.7,434.25,444.4,129498,56333978.20,13-Oct-2025,6338,INE805D01034
SUPERSPIN,EQ,9.22,9.22,8.36,9.15,9.16,9.22,36236,326169.52,13-Oct-2025,123,INE662A01027
SUPERHOUSE,EQ,161.55,163.18,160.71,161.43,160.71,160.65,6524,1056548.05,13-Oct-2025,343,INE712B01010
SUPRAJIT,EQ,448.35,448.6,438.55,443.3,443,448.35,50097,22172575.40,13-Oct-2025,3980,INE399C01030
SUPREMEENG,BE,0.77,0.81,0.77,0.77,0.77,0.82,152309,117582.54,13-Oct-2025,139,INE319Z01021
SFML,SM,39.65,40,39.55,40,40,40,14400,574720.00,13-Oct-2025,6,INE0U6N01014
SUPREME,EQ,97.3,97.84,93.21,94.79,94.95,96.68,277498,26553779.16,13-Oct-2025,2012,INE822E01011
SUPREMEIND,EQ,4150.1,4273.3,4150.1,4264.2,4268,4237.4,51444,218704615.40,13-Oct-2025,9508,INE195A01028
SUPREMEINF,BZ,108,110.88,107,110.17,109,109.44,22399,2453837.60,13-Oct-2025,87,INE550H01011
SPLPETRO,EQ,795,803.95,780,782.75,784,801.15,36019,28394458.30,13-Oct-2025,3429,INE663A01033
SUPREMEPWR,SM,206.3,228,206.1,214.35,214,212.05,99500,21664775.00,13-Oct-2025,159,INE0QHG01026
SUPRIYA,EQ,720.95,730,708.65,725.4,724.35,722.05,192209,138317341.95,13-Oct-2025,15038,INE07RO01027
SURAJEST,EQ,276,278.2,274,275.2,277,279.35,61902,17071227.20,13-Oct-2025,1451,INE843S01025
SURAJLTD,EQ,310.05,310.1,298.45,302.45,304.45,310.65,3640,1101838.80,13-Oct-2025,176,INE713C01016
SURAKSHA,EQ,287.3,290.8,284.2,285.6,286,291.65,55391,15868310.70,13-Oct-2025,3200,INE877V01027
SURANASOL,EQ,32.36,32.82,31.37,31.74,31.75,31.69,74399,2366777.16,13-Oct-2025,1138,INE272L01022
SURANAT&P,EQ,22.15,22.16,21.2,21.47,21.31,22.15,165231,3587798.30,13-Oct-2025,1322,INE130B01031
SURANI,SM,85,85,85,85,85,87,200,17000.00,13-Oct-2025,1,INE01ZJ01015
SBGLP,EQ,32.92,35.44,32.72,34.35,34.44,33.26,43727,1482334.00,13-Oct-2025,786,INE05ST01028
SURYAROSNI,EQ,284.4,287.2,279.95,281.45,281.25,288.2,189332,53316845.30,13-Oct-2025,10008,INE335A01020
SURYALAXMI,EQ,63.6,63.6,61,61.4,61.05,62.74,5169,317845.72,13-Oct-2025,85,INE713B01026
SURYODAY,EQ,147.8,150.68,146.7,147.38,148.2,151.01,222689,32951952.89,13-Oct-2025,4497,INE428Q01011
SUTLEJTEX,EQ,34.97,34.97,33.13,33.67,33.53,34.4,38363,1295459.95,13-Oct-2025,750,INE645H01027
SUULD,BZ,1.8,1.91,1.72,1.8,1.82,1.82,86831,158643.65,13-Oct-2025,167,INE591Q01016
SUVEN,EQ,207.2,210.14,200.75,201.43,201.71,209.41,155375,31632987.56,13-Oct-2025,3025,INE495B01038
SUVIDHAA,BE,3.99,4.15,3.92,3.96,3.94,3.99,83415,333536.20,13-Oct-2025,224,INE018401013
SUYOG,EQ,758,776.9,753,769.8,765.1,766.15,10346,7868666.80,13-Oct-2025,740,INE442P01014
SUZLON,EQ,54.29,54.48,53.72,54.35,54.35,54.31,44487704,2407466009.05,13-Oct-2025,98720,INE040H01021
SVPGLOB,EQ,3.51,3.83,3.51,3.71,3.7,3.76,51878,191944.23,13-Oct-2025,113,INE308E01029
SWANCORP,EQ,441,442.75,432.4,434.9,434.25,444.75,713613,310640200.35,13-Oct-2025,14643,INE665A01038
SWANDEF,BE,668,668,668,668,668,636.2,3682,2459576.00,13-Oct-2025,124,INE542F01020
SWARAJENG,EQ,4249.8,4415,4206.4,4361.1,4360.1,4240.5,27544,119000915.20,13-Oct-2025,5844,INE277A01016
SWARAJ,SM,165,177.95,165,169.3,170,165,17500,3002700.00,13-Oct-2025,33,INE0GMR01016
SWASTIK,SM,29.95,30,29.3,29.9,30,29.95,24000,718140.00,13-Oct-2025,9,INE0DGC01025
SWELECTES,EQ,937.7,950,915.6,928.4,931,934.25,43776,40710503.85,13-Oct-2025,4512,INE409B01013
SWIGGY,EQ,435,437.6,431.3,434.8,434.5,435.55,7146572,3105625003.75,13-Oct-2025,81578,INE00H001014
SYLVANPLY,SM,63,63,61,61,61,62.2,6000,374000.00,13-Oct-2025,3,INE01IH01015
SYMPHONY,EQ,893.95,893.95,880.1,882.45,886.9,894.15,40088,35430695.05,13-Oct-2025,7009,INE225D01027
SYNCOMF,EQ,17,17.1,16.59,16.63,16.66,16.99,1276079,21375584.48,13-Oct-2025,4697,INE312C01025
SGIL,EQ,528,534.95,494.6,522.35,525,537.6,104622,53342315.95,13-Oct-2025,6778,INE00QT01015
SYNGENE,EQ,650,650,630.65,633.9,633.4,651.3,600007,381482657.90,13-Oct-2025,18837,INE398R01022
